"id","st_code","st_name","opening","lat","lon","x","y"
1,"NS10","ADMIRALTY MRT STATION","1996-02-10 00:00:00","1.4405843344190326","103.800987667492","24402.1063","46918.1131"
2,"EW9","ALJUNIED MRT STATION","1989-11-04 00:00:00","1.316431944990921","103.88290571130439","33518.6049","33190.0020"
3,"TE25","AMBER MRT STATION","2023-12-30 00:00:00","1.299224","103.897131","NR","NR"
4,"NS16","ANG MO KIO MRT STATION","1987-11-07 00:00:00","1.3699325085716312","103.8495577972016","29807.2654","39105.7720"
5,"SE3","BAKAU LRT STATION","2003-01-18 00:00:00","1.387992267601408","103.90541365890923","36023.2878","41102.8445"
6,"BP9","BANGKIT LRT STATION","1999-11-06 00:00:00","1.3800215633384327","103.77264703726658","21248.0566","40221.4484"
7,"CC12","BARTLEY MRT STATION","2009-05-28 00:00:00","1.3425005110912238","103.88017756612118","33214.9340","36072.5255"
8,"CE1/DT16","BAYFRONT MRT STATION","2012-01-14 00:00:00","1.2818731218242623","103.85907943179133","30867.0093","29368.6250"
9,"TE29","BAYSHORE MRT STATION","2023-12-30 00:00:00","1.313006","103.941217","NR","NR"
10,"DT5","BEAUTY WORLD MRT STATION","2015-12-27 00:00:00","1.3412225090446557","103.77579395199339","21598.1665","35931.2359"
11,"EW5","BEDOK MRT STATION","1989-11-04 00:00:00","1.3239793022215713","103.92998416118782","38757.9520","34024.7048"
12,"DT29","BEDOK NORTH MRT STATION","2017-12-30 00:00:00","1.3347414500920542","103.91797799636716","37421.7438","35214.6804"
13,"DT30","BEDOK RESERVOIR MRT STATION","2017-12-30 00:00:00","1.3366071631444374","103.93223429018425","39008.3132","35421.0409"
14,"TE30","BEDOK SOUTH MRT STATION","2017-12-30 00:00:00","1.316827","103.949303","NR","NR"
15,"DT21","BENCOOLEN MRT STATION","2017-12-30 00:00:00","1.2989177672674552","103.85035342893235","29895.8639","31253.3259"
16,"DT23","BENDEMEER MRT STATION","2017-12-30 00:00:00","1.31367156587741","103.86297765413141","31300.8084","32884.7382"
17,"NS17/CC15","BISHAN MRT STATION","1987-11-07 00:00:00","1.3513080134489504","103.84915408568436","29762.3507","37046.3699"
18,"NE9","BOON KENG MRT STATION","2003-06-20 00:00:00","1.3193350424380637","103.861569120695","31144.0450","33510.9746"
19,"EW27","BOON LAY MRT STATION","1990-07-06 00:00:00","1.3386033878378842","103.70606428946985","13837.9827","35641.9191"
20,"CC19/DT9","BOTANIC GARDENS MRT STATION","2011-10-08 00:00:00","1.3221095263176679","103.81498241701635","25959.4046","33817.7525"
21,"NS18","BRADDELL MRT STATION","1987-11-07 00:00:00","1.340104540587232","103.84675558778588","29495.4317","35807.5455"
22,"CC2","BRAS BASAH MRT STATION","2010-04-17 00:00:00","1.2968610198603812","103.85066703844014","29930.7674","31025.9016"
23,"TE7","BRIGHT HILL MRT STATION","2020-12-30 00:00:00","1.3636707091705358","103.83363131202034","28034.8406","38413.3680"
24,"NE15","BUANGKOK MRT STATION","2006-01-15 00:00:00","1.3828771914807745","103.89312123141652","34655.3132","40537.2069"
25,"EW12/DT14","BUGIS MRT STATION","1989-11-04 00:00:00","1.3002640231354476","103.85561442731861","30481.3648","31402.1925"
26,"NS2","BUKIT BATOK MRT STATION","1990-03-10 00:00:00","1.3489756857661388","103.7495439209013","18676.8488","36788.6278"
27,"NS3","BUKIT GOMBAK MRT STATION","1990-03-10 00:00:00","1.358610924412477","103.75179057746278","18926.9127","37854.0359"
28,"BP6","BUKIT PANJANG LRT STATION","1999-11-06 00:00:00","1.3779254627731208","103.76310269093814","20185.8834","39989.7013"
29,"DT1","BUKIT PANJANG MRT STATION","2015-12-27 00:00:00","1.379001450051357","103.76153478145277","20011.3981","40108.6838"
30,"EW21/CC22","BUONA VISTA MRT STATION","1988-03-12 00:00:00","1.3066338378226547","103.79070907088204","23257.9930","32106.5631"
31,"CC17/TE9","CALDECOTT MRT STATION","2011-10-08 00:00:00","1.3376738413772957","103.83952948742909","28691.2451","35538.7680"
32,"NS12","CANBERRA MRT STATION","2019-12-30 00:00:00","1.443398","103.829471","NR","NR"
33,"DT2","CASHEW MRT STATION","2015-12-27 00:00:00","1.3698147822103002","103.76443888075384","20334.5589","39092.8585"
34,"CG2","CHANGI AIRPORT MRT STATION","2002-02-08 00:00:00","1.3574783080252455","103.98788323594428","45201.3204","37729.1934"
35,"SW1","CHENG LIM LRT STATION","2013-01-01 00:00:00","1.3962769646694522","103.89379684746591","34730.4628","42018.8886"
36,"NE4/DT19","CHINATOWN MRT STATION","2003-06-20 00:00:00","1.284358911565667","103.84342644260805","29124.9585","29643.4786"
37,"EW25","CHINESE GARDEN MRT STATION","1988-11-05 00:00:00","1.342352154208758","103.73259640485367","16790.7466","36056.3019"
38,"NS4","CHOA CHU KANG LRT STATION","1999-11-06 00:00:00","1.384754744060447","103.74453736414179","18119.8205","40744.9184"
39,"NS4","CHOA CHU KANG MRT STATION","1990-03-10 00:00:00","1.3853624986888577","103.74437044647318","18101.2472","40812.1216"
40,"NS25/EW13","CITY HALL MRT STATION","1987-12-12 00:00:00","1.292989240611605","103.85254229728451","30139.4704","30597.7817"
41,"NE5","CLARKE QUAY MRT STATION","2003-06-20 00:00:00","1.2883853575338469","103.84655487595852","29473.1249","30088.7038"
42,"EW23","CLEMENTI MRT STATION","1988-03-12 00:00:00","1.315200597283851","103.76518211375294","20417.1035","33053.8946"
43,"EW20","COMMONWEALTH MRT STATION","1988-03-12 00:00:00","1.302507870040871","103.79822579491083","24094.5286","31650.3218"
44,"SE1","COMPASSVALE LRT STATION","2003-01-18 00:00:00","1.394492379531785","103.90049211724822","35475.5631","41821.5783"
45,"PE3","CORAL EDGE LRT STATION","2005-01-29 00:00:00","1.3939085594513705","103.91258052140884","36820.8455","41757.0642"
46,"PE1","COVE LRT STATION","2005-01-29 00:00:00","1.3992813183537456","103.90596161068787","36084.2293","42351.1334"
47,"CC8","DAKOTA MRT STATION","2010-04-17 00:00:00","1.3085473176144022","103.88906438503567","34204.0253","32318.1745"
48,"PE7","DAMAI LRT STATION","2011-06-20 00:00:00","1.4052341695058828","103.90860321025063","36378.1828","43009.3794"
49,"NS24/NE6/CC1","DHOBY GHAUT MRT STATION","1987-12-12 00:00:00","1.298700639962285","103.8461148213397","29424.1448","31229.3143"
50,"EW22","DOVER MRT STATION","2001-10-18 00:00:00","1.3114046262584242","103.77863750833254","21914.5509","32634.1186"
51,"DT17","DOWNTOWN MRT STATION","2013-12-22 00:00:00","1.2794455237114069","103.85284011070074","30172.6259","29100.1876"
52,"CC3","ESPLANADE MRT STATION","2010-04-17 00:00:00","1.2936570581283573","103.85508089304975","30421.9935","30671.6278"
53,"EW7","EUNOS MRT STATION","1989-11-04 00:00:00","1.319837680128523","103.90362651825647","35824.6205","33566.6464"
54,"CG1/DT35","EXPO MRT STATION","2001-01-10 00:00:00","1.3353814706681857","103.96237537390036","42362.7103","35285.6654"
55,"BP10","FAJAR LRT STATION","1999-11-06 00:00:00","1.3845201304131842","103.77080824921492","21043.4356","40718.8827"
56,"SW2","FARMWAY LRT STATION","2007-11-15 00:00:00","1.3971695297916358","103.88930447707097","34230.5193","42117.5716"
57,"NE8","FARRER PARK MRT STATION","2003-06-20 00:00:00","1.3119049069956876","103.85347738273333","30243.5206","32689.3796"
58,"CC20","FARRER ROAD MRT STATION","2011-10-08 00:00:00","1.3174384847009977","103.80737888085942","25113.2012","33301.2602"
59,"SW5","FERNVALE LRT STATION","2005-01-29 00:00:00","1.3918852210775254","103.87630827801617","32784.2264","41533.2289"
60,"DT20","FORT CANNING MRT STATION","2017-12-30 00:00:00","1.2924782612501988","103.84432793627347","29225.2834","30541.2748"
61,"TE22","GARDENS BY THE BAY MRT STATION","2021-12-30 00:00:00","1.27914500649023","103.86802435420414","31862.5102","29066.9758"
62,"DT24","GEYLANG BAHRU MRT STATION","2017-12-30 00:00:00","1.3215051713506183","103.87190029235842","32293.7994","33750.9518"
63,"TE15","GREAT WORLD MRT STATION","2017-12-30 00:00:00","1.2938140682304358","103.8337247889354","28045.2447","30688.9788"
64,"EW30","GUL CIRCLE MRT STATION","2017-12-30 00:00:00","1.319504548274174","103.66055262393891","8772.8553","33530.3675"
65,"NE1/CC29","HARBOURFRONT MRT STATION","2003-06-20 00:00:00","1.265388717750401","103.82152982374514","26688.0367","27545.8535"
66,"TE16","HAVELOCK MRT STATION","2021-12-30 00:00:00","1.287851","103.833482","NR","NR"
67,"CC25","HAW PAR VILLA MRT STATION","2011-10-08 00:00:00","1.282570691641718","103.7817523917181","22261.1431","29445.8021"
68,"DT3","HILLVIEW MRT STATION","2015-12-27 00:00:00","1.3623442009570008","103.76741792026787","20666.0675","38266.7898"
69,"CC21","HOLLAND VILLAGE MRT STATION","2011-10-08 00:00:00","1.3122396294068241","103.79639878884163","23891.2152","32726.4128"
70,"NE14","HOUGANG MRT STATION","2003-06-20 00:00:00","1.371291625916377","103.89238018554431","34572.8759","39256.1312"
71,"DT22","JALAN BESAR MRT STATION","2017-12-30 00:00:00","1.3051707209275365","103.855295380286","30445.8530","31944.7496"
